species,antibiotic_a,antibiotic_b,n_jointly_labeled,value_agreement,missingness_agreement
paeruginosa,Ciprofloxacin,Tobramycin,3256,0.792997542997543,0.9971145919208574
paeruginosa,Ciprofloxacin,Colistin,3256,0.76504914004914,0.9967023907666942
paeruginosa,Ciprofloxacin,Aztreonam,774,0.562015503875969,0.48557295960428687
paeruginosa,Cefepime,Ceftazidime,2451,0.9212566299469604,0.8324402308326463
paeruginosa,Cefepime,Amikacin,2437,0.8773081657775954,0.8474855729596042
paeruginosa,Cefepime,Levofloxacin,2433,0.833127825729552,0.8466611706512778
paeruginosa,Cefepime,Imipenem,2439,0.8544485444854448,0.8470733718054411
paeruginosa,Cefepime,Tobramycin,3159,0.8243114909781576,0.9783594394064303
paeruginosa,Cefepime,Colistin,3158,0.8049398353388221,0.9775350370981039
paeruginosa,Cefepime,Aztreonam,689,0.6386066763425254,0.4717642209398186
paeruginosa,Ceftazidime,Amikacin,2447,0.8475684511646915,0.9779472382522671
paeruginosa,Ceftazidime,Levofloxacin,2444,0.8142389525368249,0.9775350370981039
paeruginosa,Ceftazidime,Imipenem,2448,0.8353758169934641,0.9771228359439407
paeruginosa,Ceftazidime,Tobramycin,2544,0.8765723270440252,0.8511953833470733
paeruginosa,Ceftazidime,Colistin,2544,0.872248427672956,0.8507831821929102
paeruginosa,Ceftazidime,Aztreonam,167,0.46107784431137727,0.3829348722176422
paeruginosa,Amikacin,Levofloxacin,2441,0.8299877099549365,0.9971145919208574
paeruginosa,Amikacin,Imipenem,2437,0.811653672548215,0.9934047815333883
paeruginosa,Amikacin,Tobramycin,2449,0.9240506329113924,0.8328524319868096
paeruginosa,Amikacin,Colistin,2448,0.9048202614379085,0.8320280296784831
paeruginosa,Amikacin,Aztreonam,69,0.5797101449275363,0.3633553173948887
paeruginosa,Levofloxacin,Imipenem,2441,0.8312167144612863,0.9958779884583677
paeruginosa,Levofloxacin,Tobramycin,2445,0.8584867075664622,0.8320280296784831
paeruginosa,Levofloxacin,Colistin,2445,0.8319018404907975,0.8316158285243199
paeruginosa,Levofloxacin,Aztreonam,69,0.6956521739130435,0.36417971970321517
paeruginosa,Imipenem,Tobramycin,2447,0.8406211687780957,0.8307914262159934
paeruginosa,Imipenem,Colistin,2447,0.8365345320800981,0.8303792250618302
paeruginosa,Imipenem,Aztreonam,76,0.7894736842105263,0.36500412201154164
paeruginosa,Tobramycin,Colistin,3257,0.9112680380718453,0.9987633965375103
paeruginosa,Tobramycin,Aztreonam,774,0.43023255813953487,0.4872217642209398
paeruginosa,Colistin,Aztreonam,774,0.3152454780361757,0.4868095630667766
